coi_id,i_id
1,7
1,20
1,22
1,1
1,25
1,27
1,18
2,35
3,6
3,20
3,23
3,1
3,25
3,26
3,27
3,28
3,15
3,18
4,35
5,7
5,21
5,22
5,3
5,26
5,27
5,29
5,30
5,31
6,32
7,35
8,8
8,20
8,23
8,3
8,25
8,26
8,27
8,28
8,29
8,30
8,16
9,8
9,20
9,22
9,3
9,24
9,26
9,28
9,19
10,33
11,8
11,21
11,23
11,1
11,24
11,18
12,33
13,5
13,20
13,22
13,3
13,24
13,15
14,5
14,20
14,22
14,1
14,25
14,26
14,27
14,30
14,31
14,14
15,34
16,6
16,21
16,23
16,4
16,25
16,26
16,27
16,28
16,29
16,30
16,31
16,13
17,7
17,20
17,23
17,1
17,26
17,27
17,28
17,29
17,30
17,31
17,12
18,34
19,6
19,20
19,22
19,3
19,26
19,27
19,28
19,29
19,30
19,31
19,11
20,32
21,33
22,7
22,20
22,23
22,4
22,24
22,29
22,31
22,10
23,7
23,21
23,23
23,4
23,25
23,26
23,27
23,28
23,29
23,30
23,31
23,10
24,7
24,21
24,22
24,1
24,25
24,26
24,27
24,28
24,29
24,30
24,31
24,19
25,34
26,5
26,20
26,23
26,2
26,25
26,27
26,31
26,15
27,32
28,35
29,7
29,21
29,23
29,3
29,11
30,7
30,20
30,22
30,2
30,26
30,30
30,10
31,7
31,20
31,23
31,4
31,25
31,27
31,28
31,29
31,30
31,19
32,8
32,20
32,23
32,4
32,24
32,10
33,35
34,8
34,21
34,23
34,2
34,25
34,28
34,29
34,13
35,35
36,7
36,21
36,23
36,4
36,24
36,29
36,31
36,10
37,8
37,20
37,22
37,1
37,25
37,26
37,9
38,32
39,33
40,5
40,21
40,23
40,3
40,25
40,12
41,33
42,8
42,20
42,23
42,3
42,25
42,28
42,29
42,10
43,5
43,21
43,23
43,2
43,24
43,28
43,30
43,19
44,6
44,21
44,23
44,1
44,25
44,26
44,27
44,28
44,29
44,30
44,31
44,12
44,18
45,32
46,34
47,5
47,21
47,22
47,2
47,24
47,26
47,10
48,6
48,20
48,23
48,3
48,25
48,26
48,30
48,11
49,7
49,20
49,22
49,2
49,25
49,26
49,12
50,32
51,35
52,6
52,21
52,23
52,4
52,24
52,26
52,27
52,28
52,29
52,30
52,31
52,17
53,34
54,5
54,20
54,23
54,1
54,25
54,28
54,31
54,19
55,33
56,8
56,20
56,23
56,3
56,26
56,27
56,28
