id,name,price
1,Steak Burrito,8.29
2,Can,2.0
3,Steak Salad,8.29
4,Can,2.0
5,Chicken Burrito,7.29
6,Tortilla Chips,2.19
7,Can,2.0
8,Chicken Bowl,7.29
9,Chicken Bowl,7.29
10,16oz Cup,2.09
11,Steak Bowl,8.29
12,16oz Cup,2.09
13,Chicken Tacos,7.29
14,Steak Tacos,8.29
15,32oz Cup,2.29
16,Vegetables Salad,7.29
17,Steak Burrito,8.29
18,32oz Cup,2.29
19,Chicken Salad,7.29
20,Tortilla Chips,2.19
21,16oz Cup,2.09
22,Vegetables Burrito,7.29
23,Vegetables Burrito,7.29
24,Steak Burrito,8.29
25,32oz Cup,2.29
26,Ground Beef Tacos,8.19
27,Tortilla Chips,2.19
28,Can,2.0
29,Chicken Burrito,7.29
30,Ground Beef Burrito,8.19
31,Vegetables Burrito,7.29
32,Vegetables Bowl,7.29
33,Can,2.0
34,Ground Beef Bowl,8.19
35,Can,2.0
36,Vegetables Burrito,7.29
37,Steak Bowl,8.29
38,Tortilla Chips,2.19
39,16oz Cup,2.09
40,Chicken Tacos,7.29
41,16oz Cup,2.09
42,Chicken Bowl,7.29
43,Ground Beef Tacos,8.19
44,Steak Salad,8.29
45,Tortilla Chips,2.19
46,32oz Cup,2.29
47,Ground Beef Tacos,8.19
48,Chicken Salad,7.29
49,Ground Beef Burrito,8.19
50,Tortilla Chips,2.19
51,Can,2.0
52,Vegetables Salad,7.29
53,32oz Cup,2.29
54,Steak Tacos,8.29
55,16oz Cup,2.09
56,Chicken Bowl,7.29
57,Vegetables Tacos,7.29
58,Can,2.0
59,Vegetables Tacos,7.29
60,Steak Tacos,8.29
61,Chicken Tacos,7.29
62,Tortilla Chips,2.19
63,Can,2.0
64,Chicken Bowl,7.29
65,32oz Cup,2.29
66,Vegetables Tacos,7.29
67,Tortilla Chips,2.19
68,32oz Cup,2.29
69,Chicken Burrito,7.29
70,16oz Cup,2.09
71,Vegetables Tacos,7.29
72,16oz Cup,2.09
73,Steak Bowl,8.29
74,Can,2.0
75,Steak Tacos,8.29
76,Steak Bowl,8.29
77,Vegetables Bowl,7.29
78,32oz Cup,2.29
79,Steak Salad,8.29
80,Chicken Tacos,7.29
81,Steak Burrito,8.29
82,32oz Cup,2.29
83,Ground Beef Tacos,8.19
84,Steak Tacos,8.29
85,Can,2.0
86,Chicken Burrito,7.29
87,Steak Salad,8.29
88,Ground Beef Burrito,8.19
89,Tortilla Chips,2.19
90,16oz Cup,2.09
91,Ground Beef Salad,8.19
92,Ground Beef Salad,8.19
93,32oz Cup,2.29
94,Ground Beef Tacos,8.19
95,Steak Tacos,8.29
96,Can,2.0
97,Chicken Burrito,7.29
98,Can,2.0
99,Steak Bowl,8.29
100,Can,2.0
101,Chicken Tacos,7.29
102,Tortilla Chips,2.19
103,Can,2.0
104,Ground Beef Burrito,8.19
105,16oz Cup,2.09
106,Steak Salad,8.29
107,Ground Beef Bowl,8.19
108,16oz Cup,2.09
109,Steak Bowl,8.29
110,Tortilla Chips,2.19
111,16oz Cup,2.09
